RSSPODS1;sqm_cmd_cache_size;integer;Restart required
RSSPARI3;sqm_cmd_cache_size;integer;Restart required
RSSTARI3;sqm_cmd_cache_size;integer;Restart required
RSSPODSM;sqm_cmd_cache_size;integer;Restart required
RSSPODS3;sqm_cmd_cache_size;integer;Restart required
RSSIODS1;sqm_cmd_cache_size;integer;Restart required
RSSPRMS1;sqm_cmd_cache_size;integer;Restart required
RSSIREPM;sqm_cmd_cache_size;integer;Restart required
RSSPODS5;sqm_cmd_cache_size;integer;Restart required
RSSIODSM;sqm_cmd_cache_size;integer;Restart required
RSSIODS3;sqm_cmd_cache_size;integer;Restart required
RSSPOSA1;sqm_cmd_cache_size;integer;Restart required
RSSIRMS1;sqm_cmd_cache_size;integer;Restart required
RSSIODSN;sqm_cmd_cache_size;integer;Restart required
RSSIODS4;sqm_cmd_cache_size;integer;Restart required
RSSTSME1;sqm_cmd_cache_size;integer;Restart required
RSSPESD1;sqm_cmd_cache_size;integer;Restart required
RSSISME1;sqm_cmd_cache_size;integer;Restart required
RSSIODS5;sqm_cmd_cache_size;integer;Restart required
RSSPSIN2;sqm_cmd_cache_size;integer;Restart required
RSSTSIN2;sqm_cmd_cache_size;integer;Restart required
